id,title,n,e,s,w,personage,sterren,special
START,Het Plein van Kudland,G,Z,W,L,Die Groene,1,start
HDFaY7Fbi28,Kud - Starfield,Z,W,L,Z,Cleeuwn,0,
ptfF6yhWJ7c,Animals in Zelda,L,W,Z,Z,De Ridder,0,
pD9QbAmYUEU,Weapons in Zelda,Z,L,G,G,De Ridder,0,
IpELRbaCzq8,Kud - Politieschets,Z,W,W,Z,Papegaai,0,
v5aZ_qlpP2g,Kud - Watch Dogs,G,G,G,W,Albatros,3,
aFLiAI1dnV0,Kud - Toy Story,W,G,G,W,Vliegende Koe,2,koe
f2QoruG7C8I,Livestream Kud,W,G,Z,Z,Werner de walvis,2,
VnR9joZ0z9U,Kud 2019 hoogtepunten (compilatie),Z,L,G,L,Papegaai,2,
znYxAnEberI,Kud - Just Cause 4,W,W,G,L,Werner de walvis,0,
iGBzhqSgJUk,Kud - Mijnwerkers,G,Z,W,W,Werner de walvis,2,
HCagkFYNTeQ,Kud - Fallout,G,W,G,W,De Ridder,1,
lfsucJq5L7k,Kud - Fortnite,G,G,G,G,Cleeuwn,1,
HpLDbhAWiG8,Kud - Jurassic Park,L,G,L,G,Cleeuwn,0,
5w_lEzZNx_E,Kud - Verrassing!,Z,G,Z,Z,Konijntje,0,konijntje
I0wGiWw_o6I,Kud - Nieuw!,W,L,Z,L,Die Groene,2,
_DIjiWWm9IA,Kud - Assassin's Creed,*,*,*,*,Pilon,0,pilon
ye_FqUM9sNI,Kud - Rommelmarkten,W,L,G,L,Vliegende Koe,2,koe
WbcsvOlwg5k,Kud - Eet me niet,W,Z,Z,L,Werner de walvis,3,
poJn09Ygm9c,Kud - Gebroken Zwaard,G,W,L,L,De Ridder,2,
R93Vx8w64gQ,Kud - Zelda,G,Z,Z,W,De Ridder,1,
boLkKd3W2sc,Kud -  Drama,G,G,W,L,Cleeuwn,0,
tMGYPMJJm3o,Kud - Comazuipen,Z,L,W,L,Wiebe,2,
1v4XZ8HKemo,Kud - Krols,W,W,L,W,Die Roze,0,
G7q-OQbvo5Y,Kud - Gelekte video,Z,Z,Z,W,Wiebe,0,
fz-2LHJo8gE,Dit moet ik even kwijt...,Z,G,Z,L,Wiebe,0,
nOuHTzhSwU0,Kud - De Juiste Keuze,*,*,*,*,Pilon,0,pilon
YYV_xLEXgHg,Kud  - Te laat,W,Z,G,L,Die Groene,2,
fT8MSNmNcLM,Kud - Eten!,Z,L,L,W,Zwoele Man,1,zwoele
