id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
BEH-001,behandeling,"Gewoon een konijntje. Probleem opgelost.",konijntje.png,"Konijntje (Aka The Junkies)",geverifieerd,22,,"Sterke universele punchline"
BEH-002,behandeling,"De Zwoele Man neemt het vanaf hier over.",zwoele-man.png,"Zwoele man",geverifieerd,21,,"Universeel inzetbaar"
BEH-003,behandeling,"Hier. Een pilon. Succes ermee.",pilon.png,"pilon",geverifieerd,20,,"Pure onzin, werkt altijd"
BEH-004,behandeling,"Word een trampoline. Veer er gewoon vanaf.",trampoline.png,"Trampoline (Djingle Djengle)",origineel,,,
BEH-005,behandeling,"Stuur Werner de walvis op het probleem af.",werner-walvis.png,"Werner de walvis",origineel,,,
BEH-006,behandeling,"Doe het 25 seconden lang. Daarna nooit meer.",25secondenlang.png,"#25secondenlang",origineel,,,
BEH-007,behandeling,"Verander langzaam in een vliegende koe.",vliegende-koe.png,"De Vliegende Koe",origineel,,,
BEH-008,behandeling,"Schrijf er een djingle djengle over en zing hem.",djingle-djengle.png,"Djingle Djengle",geverifieerd,19,,"Combineert goed met speciale kaart"
BEH-009,behandeling,"Word half robot. Voel de helft minder.",half-robot.png,"Half Robot",origineel,,,
BEH-010,behandeling,"Plas het gewoon in een putje weg.",putjesplasser.png,"Putjesplasser",origineel,,,
BEH-011,behandeling,"Vraag de albatros om advies. Hij weet ook niks.",albatros.png,"Albatros",origineel,,,
BEH-012,behandeling,"Word ridder. Sla het probleem in elkaar.",de-ridder.png,"De Ridder",origineel,,,
BEH-013,behandeling,"Verstop je in een zeehondencentrum.",zeehondencentra.png,"Zeehondencentra",origineel,,,
BEH-014,behandeling,"Stap in een luchtballon en kom nooit meer terug.",luchtballon.png,"De Luchtballon Mensen",origineel,,,
BEH-015,behandeling,"Word een nietmachine zonder nietjes. Symbolisch.",nietmachine.png,"Nietmachine",origineel,,,
BEH-016,behandeling,"Papegaai gewoon terug wat de patiënt zegt.",papegaai.png,"Papegaai",origineel,,,
BEH-017,behandeling,"Geef het kind (Wiebe) de schuld.",wiebe.png,"Wiebe",geverifieerd,18,,
BEH-018,behandeling,"Drink het weg. Net als Wiebe.",wiebe-drank.png,"Wiebe (drank)",onzeker,,,
BEH-019,behandeling,"Laat Cleeuwn een grap maken. Niemand lacht. Genezen.",cleeuwn.png,"Cleeuwn",geverifieerd,,,
BEH-020,behandeling,"Roep heel hard: NIEUW!",nieuw.png,"Nieuw!",origineel,,,
BEH-021,behandeling,"Word instabiel. Zei de kat.",instabiel-kat.png,"Instabiel zei de kat",origineel,,,
BEH-022,behandeling,"Vertel een koraal-verhaal tot iedereen weg is.",koraal-verhaal.png,"Koraal Verhaal",origineel,,,
BEH-023,behandeling,"Geef toe: je snapt het zelf ook niet helemaal.",ik-snap-het-niet.png,"Peter Lub-citaat",geverifieerd,21,,"Geverifieerd citaat"
BEH-024,behandeling,"Doe het anoniem. Niemand hoeft het te weten.",anoniem.png,"Peter Lub-citaat",geverifieerd,,,
BEH-025,behandeling,"Word supermegaberenbonken-sterk en negeer alles.",supermegaberenbonken.png,"Supermegaberenbonken",origineel,,,
BEH-026,behandeling,"Eis aandacht. Heel veel aandacht. Nu.",aandacht.png,"Aandacht",origineel,,,
BEH-027,behandeling,"Zing Karlijns serenade. Vals.",karlijns-serenade.png,"Karlijns Serenade",origineel,,,
BEH-028,behandeling,"Doe gewoon Josje.",josje.png,"Josje",origineel,,,
BEH-029,behandeling,"Voel je ongemakkelijk. Het hoort erbij.",ongemakkelijk.png,"Ongemakkelijk",origineel,,,
BEH-030,behandeling,"Zeg dat je erbij was. Bij alles.",ik-was-erbij.png,"Ik Was Erbij",origineel,,,
BEH-031,behandeling,"Gola.",gola.png,"Gola",origineel,,,"Eén raar woord als hele behandeling"
BEH-032,behandeling,"Word Die Groene. Beter dan dit kan het niet.",die-groene.png,"Die Groene",geverifieerd,,,
BEH-033,behandeling,"Word Die Roze. Erger dan dit kan het wel.",die-roze.png,"Die Roze",geverifieerd,,,
BEH-034,behandeling,"Leg er nog een pilon naast. Twee pilonnen.",pilon-twee.png,"pilon",geverifieerd,,,
BEH-035,behandeling,"Stop er een konijntje in. Het maakt alles beter.",konijntje-2.png,"Konijntje",geverifieerd,,,"Tweede konijntje-variant"
BEH-036,behandeling,"Laat de Zwoele Man fluisteren dat het goedkomt.",zwoele-man-fluister.png,"Zwoele man",geverifieerd,,,
BEH-037,behandeling,"Maak er een liedje van. Over niets. Zoals altijd.",liedje-over-niets.png,"Djingle Djengle",origineel,,,
BEH-038,behandeling,"Veer eraf met de trampoline van je verdriet.",trampoline-2.png,"Trampoline",origineel,,,
BEH-039,behandeling,"Vraag de vliegende koe om je op te halen.",vliegende-koe-2.png,"De Vliegende Koe",origineel,,,
BEH-040,behandeling,"Doe alsof het nieuw is. Alles is NIEUW!",nieuw-2.png,"Nieuw!",origineel,,,
BEH-041,behandeling,"Word een albatros en vlieg weg van je problemen.",albatros-2.png,"Albatros",origineel,,,
BEH-042,behandeling,"Niets doen. Het is toch maar 25 seconden lang.",25secondenlang-2.png,"#25secondenlang",origineel,,,
BEH-043,behandeling,"Geef de patiënt aan een ander therapeut. Cleeuwn?",cleeuwn-2.png,"Cleeuwn",geverifieerd,,,
BEH-044,behandeling,"Word een putjesplasser. Markeer je territorium.",putjesplasser-2.png,"Putjesplasser",origineel,,,
BEH-045,behandeling,"Bonk er supermegaberen tegenaan.",supermegaberenbonken-2.png,"Supermegaberenbonken",origineel,,,
BEH-046,behandeling,"Wees half robot, half therapeut. Bereken het weg.",half-robot-2.png,"Half Robot",origineel,,,
BEH-047,behandeling,"Word een nietmachine. Niet alles aan elkaar.",nietmachine-2.png,"Nietmachine",origineel,,,
BEH-048,behandeling,"Laat Werner de walvis erop liggen. Druk = comfort.",werner-walvis-2.png,"Werner de walvis",origineel,,,
BEH-049,behandeling,"Ga in een zeehondencentrum werken. Frisse start.",zeehondencentra-2.png,"Zeehondencentra",origineel,,,
BEH-050,behandeling,"Stap in de luchtballon van je gedachten. En spring.",luchtballon-2.png,"De Luchtballon Mensen",origineel,,,
BEH-051,behandeling,"Sla het probleem met een ridderzwaard. Onorthodox.",de-ridder-2.png,"De Ridder",origineel,,,
BEH-052,behandeling,"Papegaai dit terug tot het zinloos klinkt.",papegaai-2.png,"Papegaai",origineel,,,
BEH-053,behandeling,"Vertel een koraal-verhaal als afleiding.",koraal-verhaal-2.png,"Koraal Verhaal",origineel,,,
BEH-054,behandeling,"Word Josje. Niemand weet wat dat oplost. Toch werkt het.",josje-2.png,"Josje",origineel,,,
BEH-055,behandeling,"Voel je gola. Dat is genoeg behandeling voor vandaag.",gola-2.png,"Gola",origineel,,,
BEH-056,behandeling,"Vraag Wiebe wat hij ervan vindt. Hij snapt het ook niet.",wiebe-2.png,"Wiebe",geverifieerd,,,
BEH-057,behandeling,"Word instabiel en blijf zo. Stabiele instabiliteit.",instabiel-kat-2.png,"Instabiel zei de kat",origineel,,,
BEH-058,behandeling,"Eis nóg meer aandacht. Het werkt nooit, blijf het doen.",aandacht-2.png,"Aandacht",origineel,,,
BEH-059,behandeling,"Doe het ongemakkelijk. Heel ongemakkelijk. Ja, zo.",ongemakkelijk-2.png,"Ongemakkelijk",origineel,,,
