id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
KLA-001,klacht,"Dokter, ik snap het zelf ook niet helemaal.",,,geverifieerd,,,"Echt Peter Lub-citaat als klacht"
KLA-002,klacht,"Ik denk te veel aan zeehondencentra.",,"Zeehondencentra (Djingle Djengle)",origineel,,,
KLA-003,klacht,"Elke ochtend sta ik te laat op. Voor alles.",,"Te laat",origineel,,,
KLA-004,klacht,"Ik voel me een nietmachine zonder nietjes.",,"Nietmachine (Djingle Djengle)",origineel,,,
KLA-005,klacht,"Mijn buurman is een trampoline geworden.",,"Trampoline (Djingle Djengle)",origineel,,,
KLA-006,klacht,"Ik heb te veel aandacht nodig en ik schaam me er niet voor.",,"Aandacht (Djingle Djengle)",origineel,,,
KLA-007,klacht,"Er zit een konijntje in mijn hoofd en het wil eruit.",,"Konijntje",origineel,,,
KLA-008,klacht,"Ik vind mezelf instabiel, zei de kat.",,"Instabiel zei de kat",origineel,,,
KLA-009,klacht,"Ik durf niet meer in een luchtballon. Of erbuiten.",,"De Luchtballon Mensen",origineel,,,
KLA-010,klacht,"Iedereen vergeet me, behalve de pilon.",,"pilon",origineel,,,
KLA-011,klacht,"Ik blijf maar putjes plassen. Sociaal onhandig.",,"Putjesplasser",origineel,,,
KLA-012,klacht,"Mijn relatie met Die Roze is supermegaberenbonken-moeilijk.",,"Supermegaberenbonken",origineel,,,
KLA-013,klacht,"Ik praat alleen nog in djingle djengles.",,"Djingle Djengle",origineel,,,
KLA-014,klacht,"Ik ben bang dat ik een vliegende koe word.",,"De Vliegende Koe",origineel,,,
KLA-015,klacht,"Niemand gelooft dat ik erbij was.",,"Ik Was Erbij",origineel,,,
KLA-016,klacht,"Ik voel me half robot, half teleurstelling.",,"Half Robot",origineel,,,
KLA-017,klacht,"Een albatros heeft mijn zelfvertrouwen meegenomen.",,"Albatros",origineel,,,
KLA-018,klacht,"Werner de walvis zit op mijn borst. Letterlijk.",,"Werner de walvis",origineel,,,
KLA-019,klacht,"Ik kan geen serenade meer aanhoren zonder te huilen.",,"Karlijns Serenade",origineel,,,
KLA-020,klacht,"Ik papegaai alles wat mensen zeggen. Alles wat mensen zeggen.",,"Papegaai",origineel,,,
KLA-021,klacht,"Ik voel me ongemakkelijk. Constant. Ook nu.",,"Ongemakkelijk",origineel,,,
KLA-022,klacht,"De Zwoele Man kijkt me aan in mijn dromen.",,"Zwoele man",origineel,,,
KLA-023,klacht,"Ik heb verkering met een verkeerspilon.",,"pilon",origineel,,,
KLA-024,klacht,"Mijn gevoelens duren maar 25 seconden.",,"#25secondenlang",origineel,,,
KLA-025,klacht,"Ik ga liever anoniem te werk, óók bij mezelf.",,"Peter Lub-citaat",geverifieerd,,,"Geverifieerd citaat, vrij bewerkt tot klacht"
KLA-026,klacht,"Mijn publiek zit niet op mijn gevoelens te wachten.",,"Peter Lub-citaat",geverifieerd,,,
KLA-027,klacht,"Ik ben verliefd op een ridder die niet bestaat.",,"De Ridder",origineel,,,
KLA-028,klacht,"Ik kan niet stoppen met koraal-verhalen vertellen.",,"Koraal Verhaal",origineel,,,
KLA-029,klacht,"Ik denk dat ik Josje ben. Of word. Onduidelijk.",,"Josje",origineel,,,
KLA-030,klacht,"Alles voelt nieuw en dat is doodeng. NIEUW!",,"Nieuw!",origineel,,,
KLA-031,klacht,"Ik heb een konijn beloofd en kan het niet waarmaken.",,"Konijntje",origineel,,,
KLA-032,klacht,"Ik ben bang dat dit liedje nooit ophoudt.",,,origineel,,,
KLA-033,klacht,"Ik voel me gola. Ik weet niet wat dat is, maar ik voel het.",,"Gola",origineel,,,
KLA-034,klacht,"Ik drink te veel. Net als Wiebe.",,"Wiebe (drank)",origineel,,,
KLA-035,klacht,"Ik ben groen vanbinnen en roze vanbuiten. Of andersom.",,"Die Groene & Die Roze",origineel,,,
KLA-036,klacht,"Mensen vinden mijn humor te donker. En te plat. Tegelijk.",,,origineel,,,
KLA-037,klacht,"Ik heb een trauma over een nietje.",,"Nietmachine",origineel,,,
KLA-038,klacht,"Ik kan alleen nog beslissingen nemen via Twitter.",,"Djingle Djengle-sessie",origineel,,,
KLA-039,klacht,"Ik voel me een bijrol in mijn eigen leven.",,,origineel,,,
KLA-040,klacht,"Ik ben verslaafd aan dramatisch op de bank liggen.",,,origineel,,,
