id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
PAT-001,patient,"Die Groene ligt op de bank.",die-groene.png,"Die Groene (hoofdpersonage)",geverifieerd,,,"Neutrale op-de-bank-pose"
PAT-002,patient,"Die Roze ligt op de bank.",die-roze.png,"Die Roze (hoofdpersonage)",geverifieerd,,,"Neutrale op-de-bank-pose"
PAT-003,patient,"Die Groene én Die Roze. Samen. Weer.",die-groene-roze.png,"Die Groene & Die Roze",geverifieerd,,,"Duo op de bank"
PAT-004,patient,"Wiebe. Hij begrijpt er niks van. Net als jij.",wiebe.png,"Wiebe",geverifieerd,,,"Kind-perspectief"
PAT-005,patient,"De Zwoele Man. Hij kwam niet voor therapie.",zwoele-man.png,"Zwoele man (2010)",geverifieerd,,,"Zwoele pose"
PAT-006,patient,"Cleeuwn. Niemand lacht.",cleeuwn.png,"Cleeuwn",geverifieerd,,,"Clown-achtig personage"
PAT-007,patient,"Een pilon. Op de bank. Vraag niet.",pilon.png,"pilon",geverifieerd,,,"Verkeerspilon als patient"
PAT-008,patient,"Die Groene, maar dan in tranen.",die-groene-huilt.png,"Die Groene (expressie)",geverifieerd,,,"Verdriet-variant"
PAT-009,patient,"Die Roze, kokend van woede.",die-roze-boos.png,"Die Roze (expressie)",geverifieerd,,,"Boos-variant"
PAT-010,patient,"Wiebe, maar dronken. (drank)",wiebe-drank.png,"Wiebe (drank)",onzeker,,,"Verwijst naar 'Wiebe drank'-video"
PAT-011,patient,"Werner de walvis. Te groot voor de bank.",werner-walvis.png,"Werner de walvis",geverifieerd,,,"Zit nét niet op de bank"
PAT-012,patient,"De Vliegende Koe. Cirkelt boven de bank.",vliegende-koe.png,"De Vliegende Koe (Djingle Djengle)",geverifieerd,,,"Zweeft i.p.v. ligt"
PAT-013,patient,"Een konijntje. Onschuldig. Vermoedelijk.",konijntje.png,"Konijntje (Aka The Junkies)",geverifieerd,,,"Iconisch fragment"
PAT-014,patient,"Half Robot. Helft mens, helft probleem.",half-robot.png,"Half Robot",geverifieerd,,,"Cyborg-personage"
PAT-015,patient,"De Putjesplasser. Schaamt zich nergens voor.",putjesplasser.png,"Putjesplasser",geverifieerd,,,"Schaamteloze patient"
PAT-016,patient,"De Ridder. Strijdklaar tegen zijn gevoelens.",de-ridder.png,"De Ridder (Djingle Djengle)",geverifieerd,,,"Heroïsche pose"
PAT-017,patient,"Een Albatros met bindingsangst.",albatros.png,"Albatros",geverifieerd,,,"Vogel-patient"
PAT-018,patient,"Die Groene, maar verdacht rustig.",die-groene-kalm.png,"Die Groene (expressie)",geverifieerd,,,"Onheilspellend kalm"
