id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
REA-001,reactie,"…stilte. Hele lange, zwoele stilte.",,,origineel,,,
REA-002,reactie,"'Ik snap het zelf ook niet helemaal.'",,"Peter Lub-citaat",geverifieerd,,,"Geverifieerd citaat"
REA-003,reactie,"'Vraag het maar aan de pilon.'",,"pilon",origineel,,,
REA-004,reactie,"Die Groene begint spontaan een djingle djengle.",,"Djingle Djengle",geverifieerd,,,
REA-005,reactie,"'Dat had je 25 seconden geleden moeten zeggen.'",,"#25secondenlang",origineel,,,
REA-006,reactie,"Die Roze rolt met haar ogen tot in het volgende seizoen.",,,origineel,,,
REA-007,reactie,"'Technisch gezien… ja.'",,,origineel,,,
REA-008,reactie,"Een ongemakkelijke high five.",,"Ongemakkelijk",origineel,,,
REA-009,reactie,"'Ik ga liever anoniem te werk.'",,"Peter Lub-citaat",geverifieerd,,,
REA-010,reactie,"Die Groene doet alsof hij Werner de walvis niet hoort.",,"Werner de walvis",origineel,,,
REA-011,reactie,"'Konijntje?' (de noodknop in elke ruzie)",,"Konijntje",origineel,,,
REA-012,reactie,"Die Roze pakt boos haar koffers. Het zijn pilonnen.",,"pilon",origineel,,,
REA-013,reactie,"'Mijn publiek zit hier niet op te wachten.'",,"Peter Lub-citaat",geverifieerd,,,
REA-014,reactie,"Die Groene wordt langzaam een vliegende koe en zweeft weg.",,"De Vliegende Koe",origineel,,,
REA-015,reactie,"Een diepe zucht, gevolgd door nóg een diepere zucht.",,,origineel,,,
REA-016,reactie,"'Zullen we er gewoon een liedje over maken?'",,"Djingle Djengle",origineel,,,
REA-017,reactie,"Die Roze: 'Onverwacht. En toch volkomen K-u-d.'",,,origineel,,,
REA-018,reactie,"De Zwoele Man verschijnt uit het niets en knikt instemmend.",,"Zwoele man",geverifieerd,,,
REA-019,reactie,"'Dat verklaart de albatros.'",,"Albatros",origineel,,,
REA-020,reactie,"Die Groene begint te papegaaien om tijd te rekken.",,"Papegaai",origineel,,,
REA-021,reactie,"'Boeiend,' zegt Die Roze, terwijl het haar duidelijk boeit.",,,origineel,,,
REA-022,reactie,"Die Groene knikt alsof hij luistert. Hij luistert niet.",,,origineel,,,
REA-023,reactie,"'Dit voelt instabiel,' zei de kat.",,"Instabiel zei de kat",origineel,,,
REA-024,reactie,"Die Roze noteert het in het Grote Boek Der Fouten.",,,origineel,,,
REA-025,reactie,"'Nieuw! Dit gevoel is helemaal NIEUW!'",,"Nieuw!",origineel,,,
REA-026,reactie,"Een veel te lange knuffel die niets oplost.",,,origineel,,,
REA-027,reactie,"Die Groene biedt aan om half robot te worden ter compensatie.",,"Half Robot",origineel,,,
REA-028,reactie,"'Dat is jouw versie. De pilon vertelt iets anders.'",,"pilon",origineel,,,
REA-029,reactie,"Die Roze gooit theatraal een serenade in de strijd.",,"Karlijns Serenade",origineel,,,
REA-030,reactie,"'Supermegaberenbonken-boos ben ik nu.'",,"Supermegaberenbonken",origineel,,,
REA-031,reactie,"Die Groene plast demonstratief in een putje. Statement gemaakt.",,"Putjesplasser",origineel,,,
REA-032,reactie,"'We praten verder na de zeehondencentra-documentaire.'",,"Zeehondencentra",origineel,,,
REA-033,reactie,"Die Roze: 'Ik hoorde alleen blablabla.'",,,origineel,,,
REA-034,reactie,"Een veelbetekenende stilte met op de achtergrond een ridder.",,"De Ridder",origineel,,,
REA-035,reactie,"'Zeg dat nog eens, maar dan zingend.'",,"Djingle Djengle",origineel,,,
REA-036,reactie,"Die Groene begint heel hard 'gola' te roepen.",,"Gola",origineel,,,
REA-037,reactie,"'Ik was erbij. Ik herinner het me totaal anders.'",,"Ik Was Erbij",origineel,,,
REA-038,reactie,"Die Roze trekt zich terug op de trampoline om af te koelen.",,"Trampoline",origineel,,,
REA-039,reactie,"'Cleeuwn zou dit grappig vinden. Ik niet.'",,"Cleeuwn",geverifieerd,,,
REA-040,reactie,"Allebei tegelijk: 'Het ligt niet aan mij.'",,,origineel,,,
